matrix,row_block_size,col_block_size,tau
data/suitsparse_N20000_100000_dN0.0001_0.1//c-53.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-53.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-53.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-54.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-54.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-54.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-54.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-54.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-55.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-55.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-55.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-55.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-55.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-56.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-56.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-56.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-56.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-56.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-57.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-57.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-57.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-57.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-57.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-58.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-58.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-58.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-58.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-58.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-59.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-59.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-59.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-59.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-59.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-60.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-60.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-60.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-60.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-60.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-61.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-61.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-61.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-61.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-61.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-62.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-62.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-62.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-62.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-62.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-63.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-63.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-63.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-63.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-63.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cage11.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cage11.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cage11.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cage11.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cage11.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//case39.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//case39.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//case39.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//case39.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//case39.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//chem_master1.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//chem_master1.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//chem_master1.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//chem_master1.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//chem_master1.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//chipcool0.mtx,64,64,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//chipcool0.mtx,128,128,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//chipcool0.mtx,256,256,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//chipcool0.mtx,512,512,0.3
data/suitsparse_N20000_100000_dN0.0001_0.1//chipcool0.mtx,1024,1024,0.4
data/suitsparse_N20000_100000_dN0.0001_0.1//chipcool1.mtx,64,64,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//chipcool1.mtx,128,128,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//chipcool1.mtx,256,256,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//chipcool1.mtx,512,512,0.3
data/suitsparse_N20000_100000_dN0.0001_0.1//chipcool1.mtx,1024,1024,0.4
data/suitsparse_N20000_100000_dN0.0001_0.1//cit-HepPh.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cit-HepPh.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cit-HepPh.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cit-HepPh.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cit-HepPh.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cit-HepTh.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cit-HepTh.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cit-HepTh.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cit-HepTh.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cit-HepTh.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cond-mat-2003.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cond-mat-2003.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cond-mat-2003.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cond-mat-2003.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cond-mat-2003.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cond-mat-2005.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cond-mat-2005.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cond-mat-2005.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cond-mat-2005.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cond-mat-2005.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//crystk03.mtx,64,64,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//crystk03.mtx,128,128,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//crystk03.mtx,256,256,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//crystk03.mtx,512,512,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//crystk03.mtx,1024,1024,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//crystm03.mtx,64,64,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//crystm03.mtx,128,128,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//crystm03.mtx,256,256,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//crystm03.mtx,512,512,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//crystm03.mtx,1024,1024,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//cz40948.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cz40948.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cz40948.el,256,256,0.001
