matrix_name rows cols nnz block_size scramble algo mask tau centroid VBR_nzcount VBR_nzblocks_count VBR_average_height VBR_longest_row
598a 110971 110971 741934 16 0 clubs 16 09 128 96625632 377462 15.9992 122
598a 110971 110971 741934 16 0 clubs 64 01 128 152891392 597272 15.9989 201
598a 110971 110971 741934 16 0 clubs 64 03 128 153045248 597873 15.9989 200
598a 110971 110971 741934 16 0 clubs 64 06 128 140170400 547580 15.9988 201
598a 110971 110971 741934 16 0 clubs 64 09 128 124620224 486819 15.9993 161
598a 110971 110971 741934 16 0 clubs 256 01 128 153332480 598995 15.9989 201
598a 110971 110971 741934 16 0 clubs 256 03 128 153253888 598688 15.9989 202
598a 110971 110971 741934 16 0 clubs 256 06 128 139757408 545963 15.999 199
598a 110971 110971 741934 16 0 clubs 256 09 128 151369168 591313 15.9993 187
ASIC_320k 321821 321821 2635364 16 0 clubs 1 01 64 107911945 421534 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 1 03 64 108530441 423950 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 1 06 64 106996489 417958 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 1 09 64 139778873 546017 15.9999 13032
ASIC_320k 321821 321821 2635364 16 0 clubs 16 01 64 110916361 433270 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 16 03 64 108466489 423700 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 16 06 64 108143577 422439 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 16 09 64 169499296 662113 15.9999 13031
ASIC_320k 321821 321821 2635364 16 0 clubs 64 01 64 113402377 442981 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 64 03 64 116662809 455718 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 64 06 64 126045817 492370 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 64 09 64 174587968 682264 15.9935 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 256 01 64 124443657 486111 16 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 256 03 64 134729193 526290 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 256 06 64 153013177 597712 16 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 256 09 64 173397552 677349 15.9997 13033
ASIC_320k 321821 321821 2635364 16 0 clubs 1 01 64 107911945 421534 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 1 03 64 108530441 423950 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 1 06 64 106996489 417958 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 1 09 64 139778873 546017 15.9999 13032
ASIC_320k 321821 321821 2635364 16 0 clubs 16 01 64 110916361 433270 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 16 03 64 108466489 423700 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 16 06 64 108143577 422439 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 16 09 64 169499296 662113 15.9999 13031
ASIC_320k 321821 321821 2635364 16 0 clubs 64 01 64 113402377 442981 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 64 03 64 116662809 455718 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 64 06 64 126045817 492370 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 64 09 64 174587968 682264 15.9935 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 256 01 64 124443657 486111 16 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 256 03 64 134729193 526290 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 256 06 64 153013177 597712 16 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 256 09 64 173397552 677349 15.9997 13033
ASIC_320k 321821 321821 2635364 16 0 clubs 1 01 128 107911945 421534 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 1 03 128 108530441 423950 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 1 06 128 106980105 417894 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 1 09 128 137297129 536321 15.9999 13032
ASIC_320k 321821 321821 2635364 16 0 clubs 16 01 128 110926601 433310 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 16 03 128 108730169 424730 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 16 06 128 108311305 423094 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 16 09 128 170265833 665132 15.9994 13037
ASIC_320k 321821 321821 2635364 16 0 clubs 64 01 128 112426249 439168 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 64 03 128 116625225 455571 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 64 06 128 126021913 492277 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 64 09 128 170361481 665503 15.9994 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 256 01 128 119893001 468335 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 256 03 128 133315353 520767 15.9999 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 256 06 128 153069849 597933 16 13029
ASIC_320k 321821 321821 2635364 16 0 clubs 256 09 128 173858880 679143 15.9999 13029
ASIC_320ks 321671 321671 1827807 16 0 clubs 1 01 64 51062705 199469 15.9998 899
ASIC_320ks 321671 321671 1827807 16 0 clubs 1 03 64 51062705 199469 15.9998 899
ASIC_320ks 321671 321671 1827807 16 0 clubs 1 06 64 50717873 198122 15.9998 920
ASIC_320ks 321671 321671 1827807 16 0 clubs 1 09 64 55706177 217607 15.9998 702
ASIC_320ks 321671 321671 1827807 16 0 clubs 16 01 64 50773537 198340 15.9997 1071
ASIC_320ks 321671 321671 1827807 16 0 clubs 16 03 64 49847473 194722 15.9998 912
ASIC_320ks 321671 321671 1827807 16 0 clubs 16 06 64 50305601 196511 15.9998 914
