matrix,row_block_size,col_block_size,tau
data/suitesparse_all//brack2.mtx,1024,1024,-1.0
data/suitesparse_all//c-49.mtx,64,64,-1.0
data/suitesparse_all//c-49.mtx,256,256,-1.0
data/suitesparse_all//c-49.mtx,512,512,-1.0
data/suitesparse_all//c-49.mtx,1024,1024,-1.0
data/suitesparse_all//c-50.mtx,64,64,-1.0
data/suitesparse_all//c-50.mtx,256,256,-1.0
data/suitesparse_all//c-50.mtx,512,512,-1.0
data/suitesparse_all//c-50.mtx,1024,1024,-1.0
data/suitesparse_all//c-51.mtx,64,64,-1.0
data/suitesparse_all//c-51.mtx,256,256,-1.0
data/suitesparse_all//c-51.mtx,512,512,-1.0
data/suitesparse_all//c-51.mtx,1024,1024,-1.0
data/suitesparse_all//c-52.mtx,64,64,-1.0
data/suitesparse_all//c-52.mtx,256,256,-1.0
data/suitesparse_all//c-52.mtx,512,512,-1.0
data/suitesparse_all//c-52.mtx,1024,1024,-1.0
data/suitesparse_all//c-53.mtx,64,64,-1.0
data/suitesparse_all//c-53.mtx,256,256,-1.0
data/suitesparse_all//c-53.mtx,512,512,-1.0
data/suitesparse_all//c-53.mtx,1024,1024,-1.0
data/suitesparse_all//c-54.mtx,64,64,-1.0
data/suitesparse_all//c-54.mtx,256,256,-1.0
data/suitesparse_all//c-54.mtx,512,512,-1.0
data/suitesparse_all//c-54.mtx,1024,1024,-1.0
data/suitesparse_all//c-55.mtx,64,64,-1.0
data/suitesparse_all//c-55.mtx,256,256,-1.0
data/suitesparse_all//c-55.mtx,512,512,-1.0
data/suitesparse_all//c-55.mtx,1024,1024,-1.0
data/suitesparse_all//c-56.mtx,64,64,-1.0
data/suitesparse_all//c-56.mtx,256,256,-1.0
data/suitesparse_all//c-56.mtx,512,512,-1.0
data/suitesparse_all//c-56.mtx,1024,1024,-1.0
data/suitesparse_all//c-57.mtx,64,64,-1.0
data/suitesparse_all//c-57.mtx,256,256,-1.0
data/suitesparse_all//c-57.mtx,512,512,-1.0
data/suitesparse_all//c-57.mtx,1024,1024,-1.0
data/suitesparse_all//c-58.mtx,64,64,-1.0
data/suitesparse_all//c-58.mtx,256,256,-1.0
data/suitesparse_all//c-58.mtx,512,512,-1.0
data/suitesparse_all//c-58.mtx,1024,1024,-1.0
data/suitesparse_all//c-59.mtx,64,64,-1.0
data/suitesparse_all//c-59.mtx,256,256,-1.0
data/suitesparse_all//c-59.mtx,512,512,-1.0
data/suitesparse_all//c-59.mtx,1024,1024,-1.0
data/suitesparse_all//c-60.mtx,64,64,-1.0
data/suitesparse_all//c-60.mtx,256,256,-1.0
data/suitesparse_all//c-60.mtx,512,512,-1.0
data/suitesparse_all//c-60.mtx,1024,1024,-1.0
data/suitesparse_all//c-61.mtx,64,64,-1.0
data/suitesparse_all//c-61.mtx,256,256,-1.0
data/suitesparse_all//c-61.mtx,512,512,-1.0
data/suitesparse_all//c-61.mtx,1024,1024,-1.0
data/suitesparse_all//c-62.mtx,64,64,-1.0
data/suitesparse_all//c-62.mtx,256,256,-1.0
data/suitesparse_all//c-62.mtx,512,512,-1.0
data/suitesparse_all//c-62.mtx,1024,1024,-1.0
data/suitesparse_all//c-62ghs.mtx,64,64,-1.0
data/suitesparse_all//c-62ghs.mtx,256,256,-1.0
data/suitesparse_all//c-62ghs.mtx,512,512,-1.0
data/suitesparse_all//c-62ghs.mtx,1024,1024,-1.0
data/suitesparse_all//c-63.mtx,64,64,-1.0
data/suitesparse_all//c-63.mtx,256,256,-1.0
data/suitesparse_all//c-63.mtx,512,512,-1.0
data/suitesparse_all//c-63.mtx,1024,1024,-1.0
data/suitesparse_all//c-64.mtx,64,64,-1.0
data/suitesparse_all//c-64.mtx,256,256,-1.0
data/suitesparse_all//c-64.mtx,512,512,-1.0
data/suitesparse_all//c-64.mtx,1024,1024,-1.0
data/suitesparse_all//c-64b.mtx,64,64,-1.0
data/suitesparse_all//c-64b.mtx,256,256,-1.0
data/suitesparse_all//c-64b.mtx,512,512,-1.0
data/suitesparse_all//c-64b.mtx,1024,1024,-1.0
data/suitesparse_all//c-65.mtx,64,64,-1.0
data/suitesparse_all//c-65.mtx,256,256,-1.0
data/suitesparse_all//c-65.mtx,512,512,-1.0
data/suitesparse_all//c-65.mtx,1024,1024,-1.0
data/suitesparse_all//c-66.mtx,64,64,-1.0
data/suitesparse_all//c-66.mtx,256,256,-1.0
data/suitesparse_all//c-66.mtx,512,512,-1.0
data/suitesparse_all//c-66.mtx,1024,1024,-1.0
data/suitesparse_all//c-66b.mtx,64,64,-1.0
data/suitesparse_all//c-66b.mtx,256,256,-1.0
data/suitesparse_all//c-66b.mtx,512,512,-1.0
data/suitesparse_all//c-66b.mtx,1024,1024,-1.0
data/suitesparse_all//c-67.mtx,64,64,-1.0
data/suitesparse_all//c-67.mtx,256,256,-1.0
data/suitesparse_all//c-67.mtx,512,512,-1.0
data/suitesparse_all//c-67.mtx,1024,1024,-1.0
data/suitesparse_all//c-67b.mtx,64,64,-1.0
data/suitesparse_all//c-67b.mtx,256,256,-1.0
data/suitesparse_all//c-67b.mtx,512,512,-1.0
data/suitesparse_all//c-67b.mtx,1024,1024,-1.0
data/suitesparse_all//c-68.mtx,64,64,-1.0
data/suitesparse_all//c-68.mtx,256,256,-1.0
data/suitesparse_all//c-68.mtx,512,512,-1.0
data/suitesparse_all//c-68.mtx,1024,1024,-1.0
data/suitesparse_all//c-69.mtx,64,64,-1.0
data/suitesparse_all//c-69.mtx,256,256,-1.0
data/suitesparse_all//c-69.mtx,512,512,-1.0
data/suitesparse_all//c-69.mtx,1024,1024,-1.0
data/suitesparse_all//c-70.mtx,64,64,-1.0
data/suitesparse_all//c-70.mtx,256,256,-1.0
data/suitesparse_all//c-70.mtx,512,512,-1.0
data/suitesparse_all//c-70.mtx,1024,1024,-1.0
data/suitesparse_all//c-71.mtx,64,64,-1.0
data/suitesparse_all//c-71.mtx,256,256,-1.0
data/suitesparse_all//c-71.mtx,512,512,-1.0
data/suitesparse_all//c-71.mtx,1024,1024,-1.0
data/suitesparse_all//c-72.mtx,64,64,-1.0
data/suitesparse_all//c-72.mtx,256,256,-1.0
data/suitesparse_all//c-72.mtx,512,512,-1.0
data/suitesparse_all//c-72.mtx,1024,1024,-1.0
data/suitesparse_all//ca-CondMat.mtx,64,64,0.4
data/suitesparse_all//ca-CondMat.mtx,256,256,0.01
data/suitesparse_all//ca-CondMat.mtx,512,512,0.01
data/suitesparse_all//ca-CondMat.mtx,1024,1024,0.001
data/suitesparse_all//cage11.mtx,64,64,-1.0
data/suitesparse_all//cage11.mtx,256,256,0.8
data/suitesparse_all//cage11.mtx,512,512,-1.0
data/suitesparse_all//cage11.mtx,1024,1024,-1.0
data/suitesparse_all//cant.mtx,64,64,0.4
data/suitesparse_all//cant.mtx,256,256,0.4
data/suitesparse_all//cant.mtx,512,512,-1.0
data/suitesparse_all//cant.mtx,1024,1024,-1.0
data/suitesparse_all//cfd1.mtx,64,64,-1.0
data/suitesparse_all//cfd1.mtx,256,256,-1.0
data/suitesparse_all//cfd1.mtx,512,512,-1.0
data/suitesparse_all//cfd1.mtx,1024,1024,-1.0
data/suitesparse_all//chem_master1.mtx,64,64,0.01
data/suitesparse_all//chem_master1.mtx,256,256,-1.0
data/suitesparse_all//chem_master1.mtx,512,512,-1.0
data/suitesparse_all//chem_master1.mtx,1024,1024,0.001
data/suitesparse_all//chipcool0.mtx,64,64,-1.0
data/suitesparse_all//chipcool0.mtx,256,256,-1.0
data/suitesparse_all//chipcool0.mtx,512,512,-1.0
data/suitesparse_all//chipcool0.mtx,1024,1024,0.4
data/suitesparse_all//chipcool1.mtx,64,64,-1.0
data/suitesparse_all//chipcool1.mtx,256,256,-1.0
data/suitesparse_all//chipcool1.mtx,512,512,-1.0
data/suitesparse_all//chipcool1.mtx,1024,1024,0.4
data/suitesparse_all//cit-HepPh.mtx,64,64,0.6
data/suitesparse_all//cit-HepPh.mtx,256,256,-1.0
data/suitesparse_all//cit-HepPh.mtx,512,512,0.6
data/suitesparse_all//cit-HepPh.mtx,1024,1024,0.2
data/suitesparse_all//cit-HepTh.mtx,64,64,0.6
data/suitesparse_all//cit-HepTh.mtx,256,256,-1.0
data/suitesparse_all//cit-HepTh.mtx,512,512,-1.0
data/suitesparse_all//cit-HepTh.mtx,1024,1024,-1.0
data/suitesparse_all//ckt11752_dc_1.mtx,64,64,-1.0
data/suitesparse_all//ckt11752_dc_1.mtx,256,256,-1.0
data/suitesparse_all//ckt11752_dc_1.mtx,512,512,-1.0
