exp_name,input_type,input_source,rows,cols,B_cols,B_density,total_nonzeros,input_blocks_density,input_entries_density,input_block_size,reorder_algorithm,algo_block_size,epsilon,similarity_func,hierarchic_merge,scramble,Warmup,Repetitions,Algorithm,VBS_avg_nzblock_height,VBS_avg_nzblock_height_error,VBS_total_nonzeros,VBS_total_nonzeros_error,VBS_block_rows,VBS_block_rows_error,VBS_nz_blocks,VBS_nz_blocks_error,VBS_min_block_H,VBS_min_block_H_error,VBS_max_block_H,VBS_max_block_H_error,
default,2,data/real-graphs/facebook_combined.txt,3503,3503,5,1.000000,43130,0.500000,0.500000,4,saad_blocks,64,0.400000,scalar,1,1,0,5,-1,270.488098,9.045941,4670633.500000,68556.171875,39.200001,2.227106,271.600006,9.810199,1.000000,0.000000,1076.599976,3.720215,
default,2,data/real-graphs/facebook_combined.txt,3503,3503,5,1.000000,43130,0.500000,0.500000,4,saad_blocks,32,0.500000,scalar,1,1,0,5,-1,60.858330,1.448069,2208219.500000,39833.476562,179.399994,3.555278,1134.599976,11.200001,1.000000,0.000000,406.600006,0.800000,
default,2,data/real-graphs/facebook_combined.txt,3503,3503,5,1.000000,43130,0.500000,0.500000,4,saad_blocks,64,0.500000,scalar,1,1,0,5,-1,109.490967,1.991544,3322638.500000,31777.357422,88.199997,1.833030,475.600006,8.522910,1.000000,0.000000,768.400024,0.489898,
default,2,data/real-graphs/facebook_combined.txt,3503,3503,5,1.000000,43130,0.500000,0.500000,4,saad_blocks,32,0.600000,scalar,1,1,0,5,-1,31.776501,0.792240,1845773.000000,27270.019531,277.600006,3.720215,1816.400024,23.896444,1.000000,0.000000,326.399994,1.743560,
default,2,data/real-graphs/facebook_combined.txt,3503,3503,5,1.000000,43130,0.500000,0.500000,4,saad_blocks,64,0.600000,scalar,1,1,0,5,-1,64.856560,1.861431,2492814.250000,51273.695312,116.199997,4.166533,602.200012,16.654129,1.000000,0.000000,400.600006,20.509510,
default,2,data/real-graphs/facebook_combined.txt,3503,3503,5,1.000000,43130,0.500000,0.500000,4,saad_blocks,32,0.700000,scalar,1,1,0,5,-1,15.347319,0.169663,1615933.250000,16115.342773,481.200012,3.762978,3291.199951,20.043951,1.000000,0.000000,305.000000,0.000000,
default,2,data/real-graphs/facebook_combined.txt,3503,3503,5,1.000000,43130,0.500000,0.500000,4,saad_blocks,64,0.700000,scalar,1,1,0,5,-1,33.136768,0.787766,2077933.625000,8007.125000,185.199997,4.915282,982.599976,20.713282,1.000000,0.000000,314.399994,0.489898,
default,2,data/real-graphs/facebook_combined.txt,3503,3503,5,1.000000,43130,0.500000,0.500000,4,saad_blocks,32,0.800000,scalar,1,1,0,5,-1,4.948546,0.032917,1218250.000000,8224.385742,1241.199951,3.815757,7695.600098,13.169662,1.000000,0.000000,244.600006,0.489898,
default,2,data/real-graphs/facebook_combined.txt,3503,3503,5,1.000000,43130,0.500000,0.500000,4,saad_blocks,64,0.800000,scalar,1,1,0,5,-1,12.400457,0.187614,1766277.625000,5138.363770,522.599976,8.357033,2231.399902,31.372601,1.000000,0.000000,331.000000,3.405877,
default,2,data/real-graphs/facebook_combined.txt,3503,3503,5,1.000000,43130,0.500000,0.500000,4,saad_blocks,32,0.900000,scalar,1,1,0,5,-1,2.203743,0.013811,949187.625000,1353.928955,2084.800049,12.383861,13465.599609,67.056992,1.000000,0.000000,234.000000,2.000000,
default,2,data/real-graphs/facebook_combined.txt,3503,3503,5,1.000000,43130,0.500000,0.500000,4,saad_blocks,64,0.900000,scalar,1,1,0,5,-1,3.460639,0.022280,1284047.625000,1054.837158,1245.000000,14.463748,5813.799805,39.014870,1.000000,0.000000,226.000000,0.000000,
default,2,data/real-graphs/p2p-Gnutella04.txt,4935,4935,5,1.000000,25074,0.500000,0.500000,4,saad_blocks,32,0.300000,scalar,1,1,0,5,-1,63.678558,0.755203,10009644.000000,45557.304688,141.800003,2.638181,4913.200195,38.896786,1.000000,0.000000,1092.599976,1.959592,
default,2,data/real-graphs/p2p-Gnutella04.txt,4935,4935,5,1.000000,25074,0.500000,0.500000,4,saad_blocks,64,0.300000,scalar,1,1,0,5,-1,247.665329,5.867115,19474658.000000,90486.085938,57.799999,1.720465,1230.000000,25.139610,1.000000,0.000000,2686.199951,5.706137,
default,2,data/real-graphs/p2p-Gnutella04.txt,4935,4935,5,1.000000,25074,0.500000,0.500000,4,saad_blocks,32,0.400000,scalar,1,1,0,5,-1,18.523224,0.236108,4865247.000000,22652.093750,443.600006,8.935324,8209.799805,68.212608,1.000000,0.000000,808.799988,2.039608,
default,2,data/real-graphs/p2p-Gnutella04.txt,4935,4935,5,1.000000,25074,0.500000,0.500000,4,saad_blocks,64,0.400000,scalar,1,1,0,5,-1,58.852425,0.653069,12707194.000000,88899.695312,140.000000,2.097618,3374.600098,35.454762,1.000000,0.000000,1222.000000,4.816638,
default,2,data/real-graphs/p2p-Gnutella04.txt,4935,4935,5,1.000000,25074,0.500000,0.500000,4,saad_blocks,32,0.500000,scalar,1,1,0,5,-1,8.039275,0.060824,2850100.250000,16705.505859,999.200012,8.084553,11080.000000,39.074287,1.000000,0.000000,615.000000,8.270430,
default,2,data/real-graphs/p2p-Gnutella04.txt,4935,4935,5,1.000000,25074,0.500000,0.500000,4,saad_blocks,64,0.500000,scalar,1,1,0,5,-1,18.510006,0.317681,7537959.000000,53610.109375,443.799988,8.541663,6365.000000,66.184593,1.000000,0.000000,834.599976,4.176123,
default,2,data/real-graphs/p2p-Gnutella04.txt,4935,4935,5,1.000000,25074,0.500000,0.500000,4,saad_blocks,32,0.600000,scalar,1,1,0,5,-1,3.702261,0.042543,1624562.625000,16123.584961,1715.199951,10.796295,13714.000000,34.005882,1.000000,0.000000,565.200012,0.979796,
default,2,data/real-graphs/p2p-Gnutella04.txt,4935,4935,5,1.000000,25074,0.500000,0.500000,4,saad_blocks,64,0.600000,scalar,1,1,0,5,-1,7.929647,0.069135,4798355.000000,10178.500000,978.000000,8.414274,9456.200195,62.789810,1.000000,0.000000,663.799988,1.326650,
